,player_name,player_birth,player_physical,player_no,player_position,player_exprience,player_payment,player_salaly,player_draft,player_join
80010,김성관,1952년 07월 06일,0cm/0kg,,외야수(우투우타),고려대,,,,
80012,김성수,1962년 05월 07일,0cm/0kg,,외야수(우투우타),인천체대,,,,
80013,김성호,1960년 03월 26일,0cm/0kg,,내야수(우투우타),부산고-건국대,,,,
80014,김성호,1955년 09월 01일,0cm/0kg,,내야수(우투우타),영남대,,,,
80015,김승태,1969년 03월 07일,0cm/0kg,,포수(우투우타),충암고,,,,
80016,김신,1971년 03월 15일,0cm/0kg,,내야수(우투우타),한양대,,,,
80017,김영신,1961년 11월 09일,0cm/0kg,,포수(우투우타),동국대,,,,
80018,김용달,1956년 05월 10일,180cm/78kg,87,(우투우타),대구인지초-대구중앙중-대광고-중앙대-MBC,,,,82MBC
80019,김용만,1958년 07월 26일,0cm/0kg,,포수(우투우타),건국대,,,,
80020,김용희,1955년 10월 04일,190cm/97kg,88,(우투우타),동광초-경남중-경남고-고려대-롯데,,,,82롯데
80021,김우근,1956년 01월 26일,0cm/0kg,,외야수(우투우타),건국대,,,,
80022,김응용,1941년 09월 15일,185cm/95kg,70,(우투우타),성지초-개성중-부산상고-우석대,,,,83해태감독
80023,김이수,1960년 08월 04일,0cm/0kg,,외야수(좌투좌타),부산상고-한양대,,,,
80024,김일환,1954년 01월 11일,0cm/0kg,,내야수(좌투좌타),성균관대,,,,
80026,김정무,1954년 10월 30일,174cm/79kg,84,(우투우타),배문고-농협,,,,
80027,김정태,1957년 01월 01일,0cm/0kg,,내야수(좌투좌타),건국대,,,,
80028,김종근,1960년 03월 16일,0cm/0kg,,내야수(우투우타),경남고-중앙대,,,,
80029,김진근,1956년 03월 16일,0cm/0kg,,내야수(좌투좌타),성균관대,,,,
80030,김진우,1958년 09월 24일,0cm/0kg,,포수(우투우타),인천고-인하대,,,,
80031,김진홍,1962년 09월 10일,0cm/0kg,,포수(우투우타),대전고-인하대,,,,
80032,김태업,1962년 02월 19일,0cm/0kg,,외야수(우투우타),광주상고-연세대,,,,
80033,김한조,1962년 01월 25일,0cm/0kg,,외야수(우투우타),경남고-동아대,,,,
80034,김현택,1962년 05월 09일,0cm/0kg,,외야수(우투우타),북일고-동아대,,,,
80036,김휘욱,1957년 08월 11일,0cm/0kg,,외야수(우투우타),한양대,,,,
80038,문주모,1962년 11월 14일,0cm/0kg,,외야수(우투우타),동산고,,,,
80039,박기수,1959년 11월 27일,0cm/0kg,,내야수(우투우타),군산상고-원광대,,,,
80040,박명운,1959년 07월 17일,0cm/0kg,,포수(우투우타),중앙대,,,,
80041,박성현,1964년 07월 02일,0cm/0kg,,내야수(우투우타),광주상고-원광대,,,,
80042,박용성,1958년 09월 30일,0cm/0kg,,외야수(우투우타),동아대,,,,
